,Year,Month,Date,Hour,Minute,Second,Region,Lat,Lon,Depth(m),Mag,Mag_type
169,2020,10,10,17,38,1.3,MYANMAR-INDIA BORDER REGION,24.6513,93.5136,58010,5.4,Mww
170,2020,10,6,22,2,54.4,MYANMAR-INDIA BORDER REGION,25.643,94.7776,61510,4.6,mb
171,2020,10,5,12,8,40,MYANMAR-INDIA BORDER REGION,23.5477,94.4335,74110,4.1,mb
172,2020,10,4,16,0,2.8,MYANMAR,20.6448,94.4032,78190,4.3,mb
173,2020,10,3,15,36,17.8,NORTHEASTERN INDIA,26.2024,91.3108,44300,4.2,mb
174,2020,9,21,19,58,34.6,NORTHEASTERN INDIA,26.2803,91.3167,39620,4.4,mb
175,2020,9,20,1,59,5.6,MYANMAR-INDIA BORDER REGION,22.99,93.7675,53870,4.7,Mww
176,2020,9,18,17,53,39.6,MYANMAR-INDIA BORDER REGION,23.3836,94.5477,90390,4.4,mb
177,2020,9,10,16,54,55.1,MYANMAR-INDIA BORDER REGION,23.9905,94.8835,127250,4.3,mb
178,2020,9,7,21,37,50.4,"ANDAMAN ISLANDS, INDIA REGION",13.1472,93.1904,41160,4.7,mb
179,2020,9,6,11,36,45.7,"ANDAMAN ISLANDS, INDIA REGION",14.0641,93.0643,10000,4.1,mb
180,2020,8,31,21,9,33.6,MYANMAR,24.8788,95.2425,123460,4.9,mb
181,2020,8,30,1,47,38.8,INDIA-BANGLADESH BORDER REGION,23.4098,92.0133,37750,5.1,mb
182,2020,8,27,15,50,11,MYANMAR,18.2351,95.1077,33210,4.3,mb
183,2020,8,27,13,17,20.6,MYANMAR-INDIA BORDER REGION,23.0656,93.2324,10000,4.5,mb
184,2020,8,27,12,7,15.6,MYANMAR-INDIA BORDER REGION,23.1658,93.3193,10000,5.3,Mww
185,2020,8,24,13,5,49.7,MYANMAR-CHINA BORDER REGION,25.2722,97.6027,10000,4.3,mb
186,2020,8,23,13,18,15.2,MYANMAR-INDIA BORDER REGION,26.0998,95.5832,86900,4.6,mb
187,2020,8,22,22,56,36.5,MYANMAR,22.5997,94.5465,102780,4.2,mb
188,2020,8,14,1,8,8.1,MYANMAR-INDIA BORDER REGION,23.1226,93.2923,10000,4.2,mb
189,2020,8,12,15,58,8.3,EASTERN XIZANG-INDIA BORDER REG.,29.8913,95.1174,10000,4.8,mb
190,2020,8,11,13,57,53.2,MYANMAR-INDIA BORDER REGION,24.2129,93.9507,59160,4.3,mb
191,2020,8,7,17,36,20.3,MYANMAR-INDIA BORDER REGION,24.5233,94.8495,103260,4.3,mb
192,2020,7,30,19,28,39,"YUNNAN, CHINA",24.9912,99.2531,10000,4.3,mb
193,2020,7,30,13,35,44.8,EASTERN XIZANG-INDIA BORDER REG.,29.8251,95.0976,10000,4.1,mb
194,2020,7,28,14,38,50,MYANMAR-INDIA BORDER REGION,23.264,93.3103,10000,4.6,Mww
195,2020,7,24,5,45,56.8,MYANMAR-INDIA BORDER REGION,23.069,93.3699,10000,4.1,mb
196,2020,7,22,4,45,35.5,MYANMAR-CHINA BORDER REGION,22.3714,99.8212,25890,4.5,mb
197,2020,7,20,22,52,49,"ANDAMAN ISLANDS, INDIA REGION",12.1567,94.9118,10000,4.5,mb
198,2020,7,18,18,38,20.4,MYANMAR,21.7841,97.0311,9960,4.5,mb
199,2020,7,17,18,33,0,"ANDAMAN ISLANDS, INDIA REGION",12.1027,94.9647,13820,5.7,mww
200,2020,7,17,17,45,23.7,"ANDAMAN ISLANDS, INDIA REGION",12.0002,95.1209,10950,4.8,mb
201,2020,7,17,16,33,53.5,MYANMAR-INDIA BORDER REGION,23.1162,93.3092,10000,5.1,Mww
202,2020,7,17,14,43,19,"ANDAMAN ISLANDS, INDIA REGION",11.9603,94.7105,10000,5,mb
203,2020,7,17,14,3,42.1,"ANDAMAN ISLANDS, INDIA REGION",11.984,94.8885,10000,6.1,mww
204,2020,7,17,13,29,5.4,"ANDAMAN ISLANDS, INDIA REGION",11.8869,94.9157,10000,5.1,Mww
205,2020,7,17,10,26,39,MYANMAR-INDIA BORDER REGION,23.0895,93.3132,10000,4.3,mb
206,2020,7,17,5,37,17.8,"ANDAMAN ISLANDS, INDIA REGION",11.8654,95.0388,10000,4.6,mb
207,2020,7,17,5,1,13.4,"ANDAMAN ISLANDS, INDIA REGION",11.6984,95.0094,10000,4.8,mb
208,2020,7,16,2,27,38.7,INDIA-BANGLADESH BORDER REGION,24.6068,92.3957,39620,4.4,mb
209,2020,7,16,1,21,55.9,MYANMAR-INDIA BORDER REGION,24.606,94.8877,30680,4.4,mb
210,2020,7,13,17,34,1,"YUNNAN, CHINA",25.1767,99.5735,10000,4,mb
211,2020,7,12,21,6,47.7,"ANDAMAN ISLANDS, INDIA REGION",14.3503,92.992,10000,4.6,mb
212,2020,7,9,8,58,12.7,MYANMAR-INDIA BORDER REGION,23.0702,93.314,10000,4.6,mb
213,2020,7,7,23,49,28.1,"ANDAMAN ISLANDS, INDIA REGION",12.9785,92.4828,10000,4.6,mb
214,2020,7,6,3,33,50.1,"SICHUAN, CHINA",28.2195,100.9045,10000,4.2,mb
215,2020,7,5,11,56,34.5,MYANMAR-INDIA BORDER REGION,23.1732,93.2967,10000,4.8,mb
216,2020,7,3,9,5,43.4,MYANMAR-INDIA BORDER REGION,23.0767,93.2637,10000,4.6,mb
217,2020,6,28,5,54,36.3,MYANMAR-INDIA BORDER REGION,24.6766,94.5933,57960,4.4,mb
218,2020,6,28,3,26,21.3,"ANDAMAN ISLANDS, INDIA REGION",12.9095,92.6873,10000,4.2,mb
219,2020,6,26,16,5,45.3,MYANMAR,20.8724,94.2917,82200,4.5,mb
220,2020,6,24,22,28,28.4,NEAR SOUTH COAST OF MYANMAR,15.1779,96.2038,10000,4.3,mb
221,2020,6,24,19,44,43.5,MYANMAR-INDIA BORDER REGION,23.1939,93.2827,4240,4.8,mb
222,2020,6,24,2,32,33.7,MYANMAR-INDIA BORDER REGION,23.206,93.2628,4580,4.5,mb
223,2020,6,23,13,47,32.9,MYANMAR-INDIA BORDER REGION,23.9312,93.0128,10000,3.6,mb
224,2020,6,21,22,40,52.6,MYANMAR-INDIA BORDER REGION,23.1449,93.2856,10840,5.6,Mww
225,2020,6,21,10,46,25.3,MYANMAR-INDIA BORDER REGION,23.8756,93.071,40380,5.2,mb
226,2020,6,21,10,10,13.7,MYANMAR,21.9396,94.9061,122400,4.2,mb
227,2020,6,18,13,59,20.7,MYANMAR,22.4403,94.4328,91950,4.8,mb
228,2020,6,16,11,15,51.6,MYANMAR,18.954,94.3005,35000,4.8,mb
229,2020,6,14,5,35,31.8,MYANMAR-INDIA BORDER REGION,23.2948,93.7812,62310,4.8,mb
230,2020,6,14,2,39,47.3,MYANMAR,26.6964,97.0803,40240,4.7,mb
231,2020,6,11,10,48,35,"ANDAMAN ISLANDS, INDIA REGION",10.2844,93.7934,10000,4.6,mb
232,2020,6,9,20,47,35.4,"ANDAMAN ISLANDS, INDIA REGION",14.1533,91.6121,26760,4.6,mb
233,2020,6,3,1,40,48.9,INDIA-BANGLADESH BORDER REGION,24.8316,91.1391,30480,4.2,mb
234,2020,6,2,1,44,10.8,MYANMAR-CHINA BORDER REGION,23.7804,98.3563,14390,4.6,mb
235,2020,5,31,13,3,58.9,"ANDAMAN ISLANDS, INDIA REGION",10.8899,92.5217,8420,4.7,mb
236,2020,5,30,23,12,23.5,"ANDAMAN ISLANDS, INDIA REGION",12.6084,93.2388,59160,4.4,mb
